sha,message,author,date,url,code_size
c05fd7aff3d80d4f07d95cdcaffc2255017b0bb7,"SC 12/02/2005

svn path=/trunk/matplotlib/; revision=963",N/A,02/12/2005 10:10:04 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/c05fd7aff3d80d4f07d95cdcaffc2255017b0bb7,6771767
d2091337798d235f0e3b0b1bfeae90093dad6265,"SC 12/02/2005

svn path=/trunk/matplotlib/; revision=962",N/A,02/12/2005 07:15:38 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/d2091337798d235f0e3b0b1bfeae90093dad6265,6771636
73688f51bd3501ac2fefb150558113f05a1943b3,"SC 12/02/2005

svn path=/trunk/matplotlib/; revision=961",N/A,02/12/2005 07:08:35 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/73688f51bd3501ac2fefb150558113f05a1943b3,6771705
e6b6081d8f0f3de25a1db2ac28561470fa9de9cf,"simple matshow example

svn path=/trunk/matplotlib/; revision=960",fperez,02/12/2005 01:55:55 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/e6b6081d8f0f3de25a1db2ac28561470fa9de9cf,6771792
1ebd3456846ecce25171f721db132042a8a78cd9,"Minor cleanups, ipython now handles draw_if_interactive properly without ugly pylab hacks.

svn path=/trunk/matplotlib/; revision=959",fperez,02/12/2005 01:43:34 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/1ebd3456846ecce25171f721db132042a8a78cd9,6771249
3ba0a320f997d00b271e1bbf26b041ac398d1c22,"matshow fixes for figure numbering, return value and docs

svn path=/trunk/matplotlib/; revision=958",fperez,02/12/2005 01:31:52 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/3ba0a320f997d00b271e1bbf26b041ac398d1c22,6771780
ac8b0e928823f3f2fcfeb9965598e71bec22783c,"more log fixes

svn path=/trunk/matplotlib/; revision=957",jdh2358,02/11/2005 11:26:29 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/ac8b0e928823f3f2fcfeb9965598e71bec22783c,6770871
36c8bb1d3e323df70224f0bbe88563a1bb1e5249,"more log fixes

svn path=/trunk/matplotlib/; revision=956",jdh2358,02/11/2005 10:03:13 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/36c8bb1d3e323df70224f0bbe88563a1bb1e5249,6771126
d4fdf5de61e99c13e36fdf8444269605ac3bb710,"minor axes patch

svn path=/trunk/matplotlib/; revision=955",jdh2358,02/11/2005 08:58:04 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/d4fdf5de61e99c13e36fdf8444269605ac3bb710,6770778
f0237435a1bb9fafdba23af0d5c3456c471f5c23,"fixed Steven's pesky log bug

svn path=/trunk/matplotlib/; revision=954",jdh2358,02/11/2005 07:40:36 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/f0237435a1bb9fafdba23af0d5c3456c471f5c23,6770658
43fd63029336aeea3ed38d14a7a21a068e89b5be,"fixed Steven's pesky log bug

svn path=/trunk/matplotlib/; revision=953",jdh2358,02/11/2005 07:37:51 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/43fd63029336aeea3ed38d14a7a21a068e89b5be,6770843
43617345949a92ab0a970698c4824f4cf3dfd605,"fixed log bug

svn path=/trunk/matplotlib/; revision=952",jdh2358,02/10/2005 03:29:56 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/43617345949a92ab0a970698c4824f4cf3dfd605,6766937
79b9b8093427eb05c752a45be77762a0046842ec,"symc to 0.72

svn path=/trunk/matplotlib/; revision=951",jdh2358,02/09/2005 10:54:10 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/79b9b8093427eb05c752a45be77762a0046842ec,6766591
a79df988c2a69339417fa64dc933cd1f9a865fb4,"zorder_demo update.

svn path=/trunk/matplotlib/; revision=950",fperez,02/09/2005 10:22:46 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/a79df988c2a69339417fa64dc933cd1f9a865fb4,6766289
cc05b6058b870222b93a1a9fc1bf9a3b0aaf9fba,"Improved explanation of individual z-ordering for lines, added second example illustrating this.

svn path=/trunk/matplotlib/; revision=949",fperez,02/09/2005 10:21:25 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/cc05b6058b870222b93a1a9fc1bf9a3b0aaf9fba,6766218
c9c801f3b17e4dd9b7e10423918084e07e7a2b10,"stable sort for zorder

svn path=/trunk/matplotlib/; revision=948",jdh2358,02/09/2005 10:13:27 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/c9c801f3b17e4dd9b7e10423918084e07e7a2b10,6765658
b02946cb5059c69dfbf6744a9ad4525596c5642c,"added stability to zorder sort

svn path=/trunk/matplotlib/; revision=947",jdh2358,02/09/2005 10:08:42 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/b02946cb5059c69dfbf6744a9ad4525596c5642c,6765659
07f6131b1a5c9680286bf0d72e6cfcf8b2e2a020,"added small line optimization to agg backend

svn path=/trunk/matplotlib/; revision=946",jdh2358,02/09/2005 09:21:53 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/07f6131b1a5c9680286bf0d72e6cfcf8b2e2a020,6765579
c77e82c23fbd223c7342bb1d4c3735f92dc300a1,"more backend refactorng and optimizations

svn path=/trunk/matplotlib/; revision=945",jdh2358,02/09/2005 08:14:40 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/c77e82c23fbd223c7342bb1d4c3735f92dc300a1,6764672
862225a4393c073e81c1e92ba10b9178b4d15100,"PS optimizations.

svn path=/trunk/matplotlib/; revision=944",fperez,02/09/2005 12:12:09 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/862225a4393c073e81c1e92ba10b9178b4d15100,6760522
81188fbfdd68b06f7209336fc648b369166d4c1e,"fixed canvas switcher bug

svn path=/trunk/matplotlib/; revision=943",jdh2358,02/08/2005 11:46:30 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/81188fbfdd68b06f7209336fc648b369166d4c1e,6760257
4376f1c1b54c99fbbd8c23345ed32640c4454059,"*** empty log message ***

svn path=/trunk/matplotlib/; revision=942",fperez,02/08/2005 09:37:56 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/4376f1c1b54c99fbbd8c23345ed32640c4454059,6755727
6488be7dad9e62714cca549051fec5deeb236a16,"Add gzip support to save/load

svn path=/trunk/matplotlib/; revision=941",fperez,02/08/2005 09:36:15 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/6488be7dad9e62714cca549051fec5deeb236a16,6755612
ac68d9668ab60950e2500b0174bf486d23ed3bb4,"draw markers to backend

svn path=/trunk/matplotlib/; revision=939",jdh2358,02/08/2005 02:14:40 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/ac68d9668ab60950e2500b0174bf486d23ed3bb4,6755196
2cdf863d4cb01869e872f07f2f059bec972b51ab,"draw markers to backend

svn path=/trunk/matplotlib/; revision=938",jdh2358,02/08/2005 01:08:27 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/2cdf863d4cb01869e872f07f2f059bec972b51ab,6754318
eb36353e35ec7361a4439a920c51b4d90e035e2d,"fix broken set_linejoin and set_linecap

svn path=/trunk/matplotlib/; revision=937",seehuhn,02/08/2005 11:04:52 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/eb36353e35ec7361a4439a920c51b4d90e035e2d,6737937
babe9fb6539db2be0a967dac894d42abbc402384,"more log scaling fixes

svn path=/trunk/matplotlib/; revision=936",jdh2358,02/07/2005 03:06:27 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/babe9fb6539db2be0a967dac894d42abbc402384,6737943
c2b3535de3357a3dfeb6ed7f1156534e7cabf62e,"sc 2005/02/07

svn path=/trunk/matplotlib/; revision=935",N/A,02/07/2005 02:46:23 AM,https://api.github.com/repos/matplotlib/matplotlib/commits/c2b3535de3357a3dfeb6ed7f1156534e7cabf62e,6733523
d0f926631c6f44bb308209ca3887842c6b5b0383,"some log optimizations

svn path=/trunk/matplotlib/; revision=934",jdh2358,02/06/2005 10:08:51 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/d0f926631c6f44bb308209ca3887842c6b5b0383,6733600
b78bd36c9725f1cf279e3c1c904c96252b00e22e,"some log optimizations

svn path=/trunk/matplotlib/; revision=933",jdh2358,02/06/2005 10:05:24 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/b78bd36c9725f1cf279e3c1c904c96252b00e22e,6733544
3c125d685e3db18546087ddb5d9fe619cce616d6,"fixed v=0 loglocator bug

svn path=/trunk/matplotlib/; revision=932",jdh2358,02/05/2005 12:01:30 PM,https://api.github.com/repos/matplotlib/matplotlib/commits/3c125d685e3db18546087ddb5d9fe619cce616d6,6729773
